genus,surface_water_reads,sediment_reads,source
Bordetella,707,856,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Pseudomonas,158,492,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Enterobacter,451,189,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Brevundimonas,0,338,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Acinetobacter,136,290,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Comamonas,250,208,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Serratia,196,0,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Psychrobacter,4,177,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Agrobacterium,0,167,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
Legionella,152,0,"Afelele project report, Fig. 4.5 and Appendix Table 4, pp. 61-63 and 92-102"
