pdb_id,temperature,system_directory,temperature_directory,status,rmsd_file,rmsd_n,rmsd_mean,rmsd_sd,rmsd_median,rmsd_minimum,rmsd_maximum,rmsf_file,rmsf_n,rmsf_mean,rmsf_sd,rmsf_median,rmsf_minimum,rmsf_maximum,radius_of_gyration_file,radius_of_gyration_n,radius_of_gyration_mean,radius_of_gyration_sd,radius_of_gyration_median,radius_of_gyration_minimum,radius_of_gyration_maximum,hydrogen_bonds_file,hydrogen_bonds_n,hydrogen_bonds_mean,hydrogen_bonds_sd,hydrogen_bonds_median,hydrogen_bonds_minimum,hydrogen_bonds_maximum,secondary_structure_file,frames,helix_mean,sheet_mean,turn_mean,bend_mean,coil_mean,helix_sheet_fraction,non_coil_fraction
1O8S,333K,md_10ns/systems/1O8S_A_Repair,md_10ns/systems/1O8S_A_Repair/333K,processed,md_10ns/systems/1O8S_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1337515160167966,0.0332557439522743,0.1355071,0.0004957,0.2286803,md_10ns/systems/1O8S_A_Repair/333K/analysis/rmsf_backbone.xvg,393,0.0732234096692112,0.0806740387032264,0.0532,0.0364,0.7186,md_10ns/systems/1O8S_A_Repair/333K/analysis/rg_protein.xvg,5001,1.37469875024995,0.0093359152478538,1.37435,1.34982,1.41082,md_10ns/systems/1O8S_A_Repair/333K/analysis/hbond_protein.xvg,5001,95.78284343131374,4.225406818369706,96.0,81.0,111.0,,0,,,,,,,
1O8S,373K,md_10ns/systems/1O8S_A_Repair,md_10ns/systems/1O8S_A_Repair/373K,processed,md_10ns/systems/1O8S_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.1240779236552689,0.0226701062398199,0.1200049,0.000497,0.2188741,md_10ns/systems/1O8S_A_Repair/373K/analysis/rmsf_backbone.xvg,393,0.0730956743002544,0.0649502660123857,0.0578,0.0415,0.7071,md_10ns/systems/1O8S_A_Repair/373K/analysis/rg_protein.xvg,5001,1.380666842631474,0.0091436157611304,1.37986,1.3562,1.41087,md_10ns/systems/1O8S_A_Repair/373K/analysis/hbond_protein.xvg,5001,94.70905818836232,4.301468982305033,95.0,79.0,109.0,,0,,,,,,,
1T6G,333K,md_10ns/systems/1T6G_A_Repair,md_10ns/systems/1T6G_A_Repair/333K,processed,md_10ns/systems/1T6G_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1608739784243151,0.0154718607803787,0.1616968,0.0005053,0.233659,md_10ns/systems/1T6G_A_Repair/333K/analysis/rmsf_backbone.xvg,1104,0.1206306159420289,0.0546446738953382,0.10785,0.0506,0.3794,md_10ns/systems/1T6G_A_Repair/333K/analysis/rg_protein.xvg,5001,2.0611575564887024,0.0130731104311403,2.06016,2.02372,2.11571,md_10ns/systems/1T6G_A_Repair/333K/analysis/hbond_protein.xvg,5001,232.4499100179964,7.402579338023367,232.0,209.0,261.0,,0,,,,,,,
1T6G,373K,md_10ns/systems/1T6G_A_Repair,md_10ns/systems/1T6G_A_Repair/373K,processed,md_10ns/systems/1T6G_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.2343999164167166,0.0303759476635788,0.2340321,0.0005129,0.3391015,md_10ns/systems/1T6G_A_Repair/373K/analysis/rmsf_backbone.xvg,1104,0.1289222826086956,0.0815109762538896,0.11035,0.0465,0.658,md_10ns/systems/1T6G_A_Repair/373K/analysis/rg_protein.xvg,5001,2.0758001459708058,0.0147912845385053,2.07566,2.03026,2.12883,md_10ns/systems/1T6G_A_Repair/373K/analysis/hbond_protein.xvg,5001,234.0125974805039,8.164478521610532,234.0,208.0,261.0,,0,,,,,,,
1VBU,333K,md_10ns/systems/1VBU_A_Repair,md_10ns/systems/1VBU_A_Repair/333K,processed,md_10ns/systems/1VBU_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1019115595480903,0.0081233561304518,0.1013142,0.0004925,0.1420053,md_10ns/systems/1VBU_A_Repair/333K/analysis/rmsf_backbone.xvg,972,0.062206378600823,0.0261005684085157,0.0568,0.0336,0.3519,md_10ns/systems/1VBU_A_Repair/333K/analysis/rg_protein.xvg,5001,1.984380799840032,0.0075758213433477,1.98397,1.96142,2.01487,md_10ns/systems/1VBU_A_Repair/333K/analysis/hbond_protein.xvg,5001,273.43091381723656,8.77912646750601,273.0,241.0,308.0,,0,,,,,,,
1VBU,373K,md_10ns/systems/1VBU_A_Repair,md_10ns/systems/1VBU_A_Repair/373K,processed,md_10ns/systems/1VBU_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.134008176544691,0.0140983789694901,0.1338509,0.000495,0.1829044,md_10ns/systems/1VBU_A_Repair/373K/analysis/rmsf_backbone.xvg,972,0.0781933127572016,0.0289257828255504,0.07085,0.0414,0.3357,md_10ns/systems/1VBU_A_Repair/373K/analysis/rg_protein.xvg,5001,2.0052972565486904,0.0092793313182592,2.00518,1.9708,2.04416,md_10ns/systems/1VBU_A_Repair/373K/analysis/hbond_protein.xvg,5001,270.3873225354929,9.98053250302514,271.0,234.0,306.0,,0,,,,,,,
2C79,333K,md_10ns/systems/2C79_A_Repair,md_10ns/systems/2C79_A_Repair/333K,processed,md_10ns/systems/2C79_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1347167532293541,0.0171825889904699,0.134557,0.0005101,0.1893149,md_10ns/systems/2C79_A_Repair/333K/analysis/rmsf_backbone.xvg,205,0.0920619512195121,0.0373061914183686,0.0817,0.0409,0.2385,md_10ns/systems/2C79_A_Repair/333K/analysis/rg_protein.xvg,5001,1.6459560187962408,0.0081724929684021,1.64576,1.6129,1.6792,md_10ns/systems/2C79_A_Repair/333K/analysis/hbond_protein.xvg,5001,152.07058588282342,6.325789556566822,152.0,128.0,176.0,,0,,,,,,,
2C79,373K,md_10ns/systems/2C79_A_Repair,md_10ns/systems/2C79_A_Repair/373K,processed,md_10ns/systems/2C79_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.1116905665866826,0.0094684855679697,0.1110074,0.000504,0.1597009,md_10ns/systems/2C79_A_Repair/373K/analysis/rmsf_backbone.xvg,205,0.0703429268292682,0.0252244463541361,0.0623,0.0394,0.2031,md_10ns/systems/2C79_A_Repair/373K/analysis/rg_protein.xvg,5001,1.6398085602879424,0.0081377730084407,1.63948,1.61407,1.67281,md_10ns/systems/2C79_A_Repair/373K/analysis/hbond_protein.xvg,5001,156.18616276744652,6.346958304318543,156.0,133.0,180.0,,0,,,,,,,
3NIY,333K,md_10ns/systems/3NIY_A_Repair,md_10ns/systems/3NIY_A_Repair/333K,processed,md_10ns/systems/3NIY_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1365409116776644,0.0159632978396643,0.1410445,0.0005011,0.1742155,md_10ns/systems/3NIY_A_Repair/333K/analysis/rmsf_backbone.xvg,326,0.0972598159509202,0.0743170773541935,0.0799999999999999,0.0424,0.9676,md_10ns/systems/3NIY_A_Repair/333K/analysis/rg_protein.xvg,5001,1.9921405138972208,0.0082284022261443,1.99206,1.9703,2.01909,md_10ns/systems/3NIY_A_Repair/333K/analysis/hbond_protein.xvg,5001,275.2037592481504,9.240800581451248,275.0,242.0,313.0,,0,,,,,,,
3NIY,373K,md_10ns/systems/3NIY_A_Repair,md_10ns/systems/3NIY_A_Repair/373K,processed,md_10ns/systems/3NIY_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.1209727355128974,0.0097884533726306,0.120893,0.0005018,0.1642172,md_10ns/systems/3NIY_A_Repair/373K/analysis/rmsf_backbone.xvg,326,0.0676466257668711,0.0253466089797838,0.0613,0.0381,0.2387,md_10ns/systems/3NIY_A_Repair/373K/analysis/rg_protein.xvg,5001,1.9900673365326933,0.0075870578734505,1.98988,1.96657,2.0191,md_10ns/systems/3NIY_A_Repair/373K/analysis/hbond_protein.xvg,5001,272.3377324535093,8.85844340577338,272.0,242.0,304.0,,0,,,,,,,
7K4X,333K,md_10ns/systems/7K4X_A_Repair,md_10ns/systems/7K4X_A_Repair/333K,processed,md_10ns/systems/7K4X_A_Repair/333K/analysis/rmsd_backbone.xvg,5001,0.1077087347330533,0.0124986523931192,0.108859,0.0004922,0.1442258,md_10ns/systems/7K4X_A_Repair/333K/analysis/rmsf_backbone.xvg,906,0.0616614790286975,0.0330148823492091,0.0548,0.0327,0.5281,md_10ns/systems/7K4X_A_Repair/333K/analysis/rg_protein.xvg,5001,1.876917804439112,0.0078625300217474,1.87717,1.8443,1.90248,md_10ns/systems/7K4X_A_Repair/333K/analysis/hbond_protein.xvg,5001,243.6460707858428,7.164303428070761,244.0,214.0,269.0,,0,,,,,,,
7K4X,373K,md_10ns/systems/7K4X_A_Repair,md_10ns/systems/7K4X_A_Repair/373K,processed,md_10ns/systems/7K4X_A_Repair/373K/analysis/rmsd_backbone.xvg,5001,0.1179075900019996,0.0116001329015687,0.1176986,0.0004999,0.1579436,md_10ns/systems/7K4X_A_Repair/373K/analysis/rmsf_backbone.xvg,906,0.0775483443708609,0.0416484891366933,0.0691,0.0391,0.6121,md_10ns/systems/7K4X_A_Repair/373K/analysis/rg_protein.xvg,5001,1.8744905418916216,0.0074993382475698,1.87431,1.85072,1.90735,md_10ns/systems/7K4X_A_Repair/373K/analysis/hbond_protein.xvg,5001,240.5256948610278,7.915280115713502,240.0,209.0,267.0,,0,,,,,,,
